"FirmId","PurchaseOrderNumber","VendorNumber","VendorName","WarehouseId","PurchasingAddressCode","OrderDateRaw","OrderDateIso","PromisedDateRaw","PromisedDateIso","NotBeforeDateRaw","NotBeforeDateIso","RequiredDateRaw","RequiredDateIso","LastReceiptDateRaw","LastReceiptDateIso","HoldFlag","PrintStatus","PaymentTermsCode","FreightTerms","ShippingMethod","Acknowledgment","Fob","MessageCode","RequisitionNumber","PurchaseOrderStatus","IsOpen","IsClosed","IsCanceled","VendorResolutionStatus","SourceRecordIdentity"
"01","0028532","000174","PCB POWER INC.","12","","B60201","2016-02-01","","","","","B60202","2016-02-02","","","","","60","","UPS","","","","","ActiveOpenFile","true","false","false","Resolved","303130303031373430303238353332"
"01","0028556","000174","PCB POWER INC.","12","","B60205","2016-02-05","","","","","B60217","2016-02-17","B61215","2016-12-15","","","60","","UPS","","","","","ActiveOpenFile","true","false","false","Resolved","303130303031373430303238353536"
"01","0038774","000174","PCB POWER INC.","12","","B60509","2016-05-09","","","","","B60510","2016-05-10","B60511","2016-05-11","","","60","","UPS","FRANK","","","","ActiveOpenFile","true","false","false","Resolved","303130303031373430303338373734"
"01","0039248","000174","PCB POWER INC.","12","","B61103","2016-11-03","","","","","B61121","2016-11-21","B70214","2017-02-14","","","60","","","","","","","ActiveOpenFile","true","false","false","Resolved","303130303031373430303339323438"
"01","0039315","000174","PCB POWER INC.","12","","B61207","2016-12-07","","","","","B70424","2017-04-24","B70110","2017-01-10","","","60","","UPS","FRANK","","","","ActiveOpenFile","true","false","false","Resolved","303130303031373430303339333135"
"01","0039345","000174","PCB POWER INC.","39","","B61216","2016-12-16","","","","","B70403","2017-04-03","B70428","2017-04-28","","","60","","UPS","FRANK","","","","ActiveOpenFile","true","false","false","Resolved","303130303031373430303339333435"
"01","0039385","000174","PCB POWER INC.","12","","B70104","2017-01-04","","","","","B70109","2017-01-09","B70111","2017-01-11","","","60","","UPS","FRANK","","","","ActiveOpenFile","true","false","false","Resolved","303130303031373430303339333835"
"01","0039499","000174","PCB POWER INC.","A1","","B70320","2017-03-20","","","","","B70328","2017-03-28","B70517","2017-05-17","","","60","","","","","","","ActiveOpenFile","true","false","false","Resolved","303130303031373430303339343939"
"01","0039894","000174","PCB POWER INC.","12","","B70720","2017-07-20","","","","","B70814","2017-08-14","B70817","2017-08-17","","","60","","UPS","FRANK","","","","ActiveOpenFile","true","false","false","Resolved","303130303031373430303339383934"
"01","0040084","000174","PCB POWER INC.","12","","B71016","2017-10-16","","","","","B71130","2017-11-30","B71218","2017-12-18","","","60","","UPS GROUND","JAMIE","","","","ActiveOpenFile","true","false","false","Resolved","303130303031373430303430303834"
"01","0040779","000174","PCB POWER INC.","12","","B80817","2018-08-17","","","","","B90228","2019-02-28","B90423","2019-04-23","","","60","","FED-EX","FRANK JR","","","","ActiveOpenFile","true","false","false","Resolved","303130303031373430303430373739"
"01","0042267","000174","PCB POWER INC.","12","","C00513","2020-05-13","","","","","C00515","2020-05-15","C00519","2020-05-19","","","60","","","","","","","ActiveOpenFile","true","false","false","Resolved","303130303031373430303432323637"
"01","0046133","000174","PCB POWER INC.","12","","C60723","2026-07-23","","","","","C60820","2026-08-20","","","","","60","","UPS","FRANK","","","","ActiveOpenFile","true","false","false","Resolved","303130303031373430303436313333"
