Ord Dt	Cust#	Cust Name	P/O	Sls Ord#	Ln#	WorkOrd	WorkOrd Qty	Qty Shp'd	Qty Open	Item#	Description	Ship Dt	Price	Ext Price	MatlCost	LabrCost	TotlCost
04/01/26	549250	MASON ELECTRIC CO.       	300023104 	0012076	01	0115596	         70	          0	          5	799-057-3           	CCA, LH, PROGRAMMED 	05/24/26	    439.33	   2196.65 	      0.00   	     30.00   	     30.00   
04/01/26	549250	MASON ELECTRIC CO.       	300023105 	0012077	01	0115597	         70	          0	         14	799-057-2           	CCA, RH, PROGRAMMED 	05/24/26	    439.33	   6150.62 	      0.00   	     30.00   	     30.00   
04/16/26	001238	KING NUTRONICS CORPORATIO	000820    	0012079	01	0115599	         25	          0	         25	3604-292-005        	BOARD ASSY, 3604A MOTHERBOARD 	05/31/26	    536.64	  13416.00 	    125.08   	     70.00   	    195.08   
07/07/25	001148	HUGHEY & PHILLIPS        	HP00194834	0012005	17	UNKNOWN	          0	          0	         10	277-5014-003        	TRIGGER CONTROL BOARD 	06/01/26	    143.55	   1435.50 	     33.82   	     40.00   	     73.82   
11/07/25	001148	HUGHEY & PHILLIPS        	HP00195568	0012040	09	UNKNOWN	          0	          0	         10	B7C14PAA            	MASTER CARD 	06/01/26	    128.84	   1288.40 	     33.68   	     26.00   	     59.68   
01/27/26	001148	HUGHEY & PHILLIPS        	HP00195872	0012055	07	UNKNOWN	          0	          0	          5	B7C21LAA-001        	CCA ALARM CARD BCN-LS LED 120V 	06/01/26	    105.93	    529.65 	     26.30   	     15.00   	     41.30   
11/19/25	839287	THERMASOL STEAMBATH CO.  	41636     	0012042	04	UNKNOWN	          0	          0	        100	03-4770-5           	POWER SUPPLY PCB ASSY (SIDE) 	06/01/26	     35.00	   3500.00 	      7.82   	      8.80   	     16.62   
03/24/26	001057	FLIGHT LIGHT INC.        	75038     	0012069	01	0115588	         40	          0	         40	HA-GEA20264-2       	FLASH HEAD MODULE ASSEMBLY 	06/02/26	    317.32	  12692.80 	     61.90   	     40.00   	    101.90   
03/24/26	001057	FLIGHT LIGHT INC.        	75283     	0012070	01	0115589	         50	          0	         50	HA-GEA20264-1       	FLASHER HEAD MODULE ASSY 	06/02/26	    304.25	  15212.50 	     52.34   	     40.00   	     92.34   
04/06/26	565650	MEGGITT SAFETY SYSTEMS   	4551288428	0012074	01	0115594	         16	          0	         17	910781-02           	SMOKE DETECTOR DUAL, 8930 	06/03/26	    478.34	   8131.78 	     28.75   	     30.00   	     58.75   
05/19/26	565650	MEGGITT SAFETY SYSTEMS   	4551292410	0012083	01	0115604	        234	          0	         40	910781-03           	SMOKE DETECTOR SINGLE, 8930 	06/03/26	    364.80	  14592.00 	     14.39   	     30.00   	     44.39   
01/19/26	001165	AERO FLUID PRODUCTS      	P138315   	0012053	05	UNKNOWN	          0	          0	         20	718720-1            	ISOLATION SWITCH ASSY 	06/09/26	   1237.85	  24757.00 	    213.31   	     96.00   	    309.31   
04/13/26	001148	HUGHEY & PHILLIPS        	HP00196437	0012075	03	UNKNOWN	          0	          0	          5	B7C11PAA            	MASTER CARD 	06/15/26	    131.57	    657.85 	     35.16   	     26.66   	     61.82   
05/11/26	001165	AERO FLUID PRODUCTS      	P139703   	0012080	01	0115600	        250	          0	        100	5372-35-2           	CONNECTOR HARNESS ASSY 	06/15/26	    108.39	  10838.75 	      1.80   	     22.32   	     24.12   
06/03/26	549250	MASON ELECTRIC CO.       	300023434 	0012084	01	0115605	          9	          0	          9	999-057-36          	CCA, ARINC-429 I/F,CCD 	06/15/26	    443.18	   3988.62 	      2.17   	    108.40   	    110.57   
03/17/26	001082	ABBOTT TECHNOLOGIES, INC.	47854     	0012067	02	UNKNOWN	          0	          0	         10	B11020-26           	PCBA-644 	06/17/26	     82.04	    820.40 	      4.80   	     17.20   	     22.00   
04/30/26	001148	HUGHEY & PHILLIPS        	HP00196659	0012081	01	0115601	          6	          0	          1	B7C93PAA            	CCA, ALARM CARD SEMI 3 CH PCBA 	06/18/26	    147.00	    147.00 	     38.41   	     21.00   	     59.41   
04/30/26	001148	HUGHEY & PHILLIPS        	HP00196659	0012081	03	UNKNOWN	          0	          0	          1	B7C93PAA            	CCA, ALARM CARD SEMI 3 CH PCBA 	06/18/26	    147.00	    147.00 	     38.41   	     21.00   	     59.41   
04/30/26	001148	HUGHEY & PHILLIPS        	HP00196659	0012081	05	UNKNOWN	          0	          0	          1	B7C93PAA            	CCA, ALARM CARD SEMI 3 CH PCBA 	06/18/26	    147.00	    147.00 	     38.41   	     21.00   	     59.41   
04/30/26	001148	HUGHEY & PHILLIPS        	HP00196659	0012081	07	UNKNOWN	          0	          0	          1	B7C93PAA            	CCA, ALARM CARD SEMI 3 CH PCBA 	06/18/26	    147.00	    147.00 	     38.41   	     21.00   	     59.41   
04/30/26	001148	HUGHEY & PHILLIPS        	HP00196659	0012081	09	UNKNOWN	          0	          0	          1	B7C93PAA            	CCA, ALARM CARD SEMI 3 CH PCBA 	06/18/26	    147.00	    147.00 	     38.41   	     21.00   	     59.41   
04/30/26	001148	HUGHEY & PHILLIPS        	HP00196659	0012081	11	UNKNOWN	          0	          0	          1	B7C93PAA            	CCA, ALARM CARD SEMI 3 CH PCBA 	06/18/26	    147.00	    147.00 	     38.41   	     21.00   	     59.41   
07/07/25	001148	HUGHEY & PHILLIPS        	HP00194834	0012005	19	UNKNOWN	          0	          0	         10	277-5014-003        	TRIGGER CONTROL BOARD 	07/01/26	    143.55	   1435.50 	     33.82   	     40.00   	     73.82   
10/21/25	001148	HUGHEY & PHILLIPS        	HP00195446	0012034	06	UNKNOWN	          0	          0	          5	B7C19PAA            	MASTER CARD 	07/01/26	    129.74	    648.70 	     35.07   	     17.00   	     52.07   
10/31/25	001148	HUGHEY & PHILLIPS        	HP00195447	0012035	04	UNKNOWN	          0	          0	          5	B7C57LAA-001        	ALARM CARD 	07/01/26	    114.17	    570.85 	     36.89   	     23.20   	     60.09   
11/07/25	001148	HUGHEY & PHILLIPS        	HP00195568	0012040	11	UNKNOWN	          0	          0	         10	B7C14PAA            	MASTER CARD 	07/01/26	    128.84	   1288.40 	     33.68   	     26.00   	     59.68   
11/20/25	001148	HUGHEY & PHILLIPS        	HP00195647	0012041	07	UNKNOWN	          0	          0	         10	B7C23LAA-001        	ALARM CARD 	07/01/26	     82.55	    825.50 	     27.46   	     18.40   	     45.86   
01/27/26	001148	HUGHEY & PHILLIPS        	HP00195872	0012055	09	UNKNOWN	          0	          0	          5	B7C21LAA-001        	CCA ALARM CARD BCN-LS LED 120V 	07/01/26	    105.93	    529.65 	     26.30   	     15.00   	     41.30   
03/05/26	001148	HUGHEY & PHILLIPS        	HP00195650	0012064	07	UNKNOWN	          0	          0	         10	277-3939            	PCB ASSEMBLY 	07/01/26	     31.00	    310.00 	      5.27   	      2.83   	      8.10   
05/07/26	001148	HUGHEY & PHILLIPS        	HP00196695	0012082	01	0115602	          5	          0	          2	B7C91PAA            	CCA, ALARM CARD SEMI 1 CH PCBA 	07/01/26	     72.94	    145.88 	     17.41   	     12.40   	     29.81   
05/07/26	001148	HUGHEY & PHILLIPS        	HP00196695	0012082	03	UNKNOWN	          0	          0	          3	B7C91PAA            	CCA, ALARM CARD SEMI 1 CH PCBA 	07/01/26	     72.94	    218.82 	     17.41   	     12.40   	     29.81   
05/07/26	001148	HUGHEY & PHILLIPS        	HP00196695	0012082	05	0115603	         50	          0	         10	B7C24LAA-001        	ALARM BCN-LED 120V 	07/01/26	    132.79	   1327.90 	     76.08   	     18.40   	     94.48   
05/07/26	001148	HUGHEY & PHILLIPS        	HP00196695	0012082	07	UNKNOWN	          0	          0	         10	B7C24LAA-001        	ALARM BCN-LED 120V 	07/01/26	    132.79	   1327.90 	     76.08   	     18.40   	     94.48   
04/23/26	001077	SARICA MANUFACTURING COMP	SP00174416	0012078	01	0115598	        100	          0	        100	PA446B              	PHOTOCELL PCB ASSY 	07/06/26	     19.21	   1921.00 	      2.80   	      2.80   	      5.60   
07/07/25	001148	HUGHEY & PHILLIPS        	HP00194880	0012006	11	UNKNOWN	          0	          0	          5	277-3261            	ASSY 1 POWER SUPPLY 	07/08/26	    207.09	   1035.45 	     96.03   	     55.60   	    151.63   
01/19/26	001165	AERO FLUID PRODUCTS      	P138315   	0012053	07	UNKNOWN	          0	          0	         20	718720-1            	ISOLATION SWITCH ASSY 	07/08/26	   1237.85	  24757.00 	    213.31   	     96.00   	    309.31   
05/19/26	565650	MEGGITT SAFETY SYSTEMS   	4551292410	0012083	03	UNKNOWN	          0	          0	         50	910781-03           	SMOKE DETECTOR SINGLE, 8930 	07/08/26	    364.80	  18240.00 	     14.39   	     30.00   	     44.39   
01/14/26	001165	AERO FLUID PRODUCTS      	P138515   	0012054	03	UNKNOWN	          0	          0	        200	15K35-1             	FILTER AND RECTIFIER ASSEMBLY 	07/10/26	     61.85	  12370.00 	      1.10   	     15.20   	     16.30   
03/17/26	001082	ABBOTT TECHNOLOGIES, INC.	47854     	0012067	03	UNKNOWN	          0	          0	         10	B11020-26           	PCBA-644 	07/15/26	     82.04	    820.40 	      4.80   	     17.20   	     22.00   
02/21/26	001165	AERO FLUID PRODUCTS      	P139101   	0012063	03	UNKNOWN	          0	          0	        125	5372-36-1           	SWITCH HARNESS ASSY 	07/15/26	     54.44	   6805.00 	      0.00   	      9.20   	      9.20   
11/19/25	839287	THERMASOL STEAMBATH CO.  	41636     	0012042	05	UNKNOWN	          0	          0	        100	03-4770-5           	POWER SUPPLY PCB ASSY (SIDE) 	07/15/26	     35.00	   3500.00 	      7.82   	      8.80   	     16.62   
10/13/25	001037	MEGGITT (N. HOLLYWOOD), I	4551252615	0012029	04	UNKNOWN	          0	          0	        100	450007              	PCB ASSEMBLY 	07/22/26	     21.31	   2131.00 	      7.41   	      4.00   	     11.41   
06/05/26	001238	KING NUTRONICS CORPORATIO	953       	0012085	01	0115606	         20	          0	         20	KA3666-361-005      	PCBA AUTO PRESS.CAL. 	07/24/26	   1094.98	  21899.60 	    233.08   	     54.80   	    287.88   
03/04/26	565650	MEGGITT SAFETY SYSTEMS   	4551281494	0012066	01	0115585	         10	          0	         10	H23982-1            	CONTROLLER COVER ASSY 	07/29/26	   4142.31	  41423.10 	    259.29   	     90.40   	    349.69   
11/07/25	001148	HUGHEY & PHILLIPS        	HP00195568	0012040	13	UNKNOWN	          0	          0	         10	B7C14PAA            	MASTER CARD 	08/03/26	    128.84	   1288.40 	     33.68   	     26.00   	     59.68   
06/04/25	001037	MEGGITT (N. HOLLYWOOD), I	4551226777	0011998	04	UNKNOWN	          0	          0	         10	159617              	PRINTED CIRCUIT ASSEMBLY OP20 	08/07/26	    495.75	   4957.50 	    175.42   	     40.00   	    215.42   
04/13/26	001148	HUGHEY & PHILLIPS        	HP00196437	0012075	05	UNKNOWN	          0	          0	          5	B7C11PAA            	MASTER CARD 	08/10/26	    131.57	    657.85 	     35.16   	     26.66   	     61.82   
03/17/26	001082	ABBOTT TECHNOLOGIES, INC.	47854     	0012067	04	UNKNOWN	          0	          0	         10	B11020-26           	PCBA-644 	08/12/26	     82.04	    820.40 	      4.80   	     17.20   	     22.00   
01/19/26	001165	AERO FLUID PRODUCTS      	P138315   	0012053	09	UNKNOWN	          0	          0	         20	718720-1            	ISOLATION SWITCH ASSY 	08/12/26	   1237.85	  24757.00 	    213.31   	     96.00   	    309.31   
07/07/25	001148	HUGHEY & PHILLIPS        	HP00194880	0012006	13	UNKNOWN	          0	          0	          5	277-3261            	ASSY 1 POWER SUPPLY 	09/01/26	    207.09	   1035.45 	     96.03   	     55.60   	    151.63   
10/31/25	001148	HUGHEY & PHILLIPS        	HP00195447	0012035	05	UNKNOWN	          0	          0	          5	B7C57LAA-001        	ALARM CARD 	09/01/26	    114.17	    570.85 	     36.89   	     23.20   	     60.09   
