"CanonicalTable","Field","FirmId","CodeDomain","CodeType","CodeValue","OccurrenceCount","CurrentDescription","Classification"
"PurchaseOrder","ShippingMethod","01","Purchasing","ShippingMethod","W/C","3",,"TransactionDerived"
"PurchaseOrder","ShippingMethod","01","Purchasing","ShippingMethod","WILL CALL","6",,"TransactionDerived"
"PurchaseOrder","ShippingMethod","01","Purchasing","ShippingMethod","XXXXXXXXXXXXXXX","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","AIR DELIVERY","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","AIR SHIPPING","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","ASHLEIGH","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","BEST WAY","3",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","BY SEA","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","C.O.D.","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","DELEVERY","3",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","DELIEVERY","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","DELIVER","5",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","DELIVERED","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","DELIVERY","167",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","DELIVERY  PPA","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","DELIVERY TRUCK","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","DHL","12",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","DHL AIR","2",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","DHL PREPAID","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","DLE","2",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","DLE PICK UP","2",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","DLE PICK-UP","2",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","DLH","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","DROP OFF","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","DROP SHIPMENT","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","E.E. WILL BRING","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","FED EX","40",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","FED EX'","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","FED EX & UPS","3",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","FED EX / UPS","3",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","FED EX 2 DAY","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","FED EX 2DAY","2",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","FED EX AIR","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","FED EX GRND","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","FED EX NEXT DAY","2",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","FED EX OVERNGHT","3",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","FED EX OVERNGT","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","FED EX OVERNIGT","8",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","FED EX OVRNT","2",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","FED EX P-1","3",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","FED EX P2","4",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","FED EX PP&A","2",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","FED EX PPA","6",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","FED EX PPA&ADD","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","FED EX PRE PAY","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","FED EX PREPAOD","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","FED EX PREPAY","2",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","FED EX STANDARD","2",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","FED*EX","2",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","FED-+EX","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","FED-E","2",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","FED-EDX","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","FED-EEX","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","FEDE-EX","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","FED-EWX","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","FEDEX","11",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","FED-EX","3229",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","FED-EX  PPA","5",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","FEDEX FREE","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","FED-EX OVERNIGH","2",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","FEDEX OVERNIGHT","4",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","FEDEX P2","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","FEDEX PREPAID","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","FEDEX PZ","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","FED-RX","2",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","FEDS-EX","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","FE-EX","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","FREE  SHIPPING","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","FREE 2ND DAY SH","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","FREE FED EX","10",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","FREE FED EX GRD","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","FREE FED-EX","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","FREE FEDEX OVER","2",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","FREE FEDEX OVRN","4",,"TransactionDerived"
